LocationID,latitude,longitude,transport_mode,node_ID
CSHCY038,51.48133771,-0.017233246,bike,0
CSHCY063,51.42295968,-0.173450686,bike,1
CSHCY098,51.51391754,-0.251228695,bike,2
INNCY002,51.56266688,-0.044544143,bike,3
INNCY027,51.43330824,-0.22424039,bike,4
INNCY039,51.41430069,-0.192649067,bike,5
INNCY040,51.43410451,-0.195708914,bike,6
INNCY048,51.5064977,-0.26325669,bike,7
INNCY104,51.47177158,-0.236915721,bike,8
INNCY108,51.41609321,-0.184697386,bike,9
INNCY194,51.53198118,-0.218226303,bike,10
INNCY207,51.50970866,-0.25784586,bike,11
INNCY228,51.54007748,-0.208983892,bike,12
INNCY247,51.42014369,-0.06085968,bike,13
INNCY250,51.4249401,-0.1898128,bike,14
INNCY262,51.53003012,-0.222988065,bike,15
INNCY267,51.53151079,-0.199198908,bike,16
INNCY268,51.51618657,-0.258074333,bike,17
INNCY294,51.42276206,-0.063668734,bike,18
INNCY305,51.4405124,-0.196046347,bike,19
INNCY309,51.41885447,-0.196381409,bike,20
INNCY311,51.42642539,-0.229354808,bike,21
INNCY315,51.41757408,-0.171206082,bike,22
INNCY316,51.42039707,-0.17924841,bike,23
INNCY321,51.47594958,-0.242673073,bike,24
INNCY324,51.50479688,-0.249863198,bike,25
INNCY327,51.53445022,-0.193863358,bike,26
INNCY336,51.51207553,-0.256761178,bike,27
INNCY337,51.53531891,-0.20829113,bike,28
INNCY362,51.41964516,-0.157603854,bike,29
INNCY367,51.4145326,-0.195444187,bike,30
INNCY375,51.49506792,-0.246908034,bike,31
INNCY392,51.53180486,-0.220828383,bike,32
INNCY397,51.51741843,-0.254438463,bike,33
INNCY450,51.42258486,-0.060022783,bike,34
INNCY452,51.48157067,-0.019311471,bike,35
INNCY483,51.41980535,-0.16609751,bike,36
INNCY490,51.47926146,-0.245253193,bike,37
INNCY500,51.41752408,-0.185345409,bike,38
INNCY501,51.44009314,-0.195098811,bike,39
INNCY504,51.42432454,-0.207687571,bike,40
INNCY506,51.47218093,-0.247425538,bike,41
INNCY507,51.43195784,-0.214078487,bike,42
INNCY509,51.4226724,-0.197295478,bike,43
INNCY516,51.48479157,-0.23325936,bike,44
INNCY554,51.56491397,-0.046640874,bike,45
INNCY581,51.43660611,-0.231220042,bike,46
INNCY585,51.4158398,-0.182852239,bike,47
INNCY586,51.48729662,-0.230022531,bike,48
QWPCY024,51.56722918,-0.044189665,bike,49
QWPCY104,51.42879154,-0.188236442,bike,50
QWPCY105,51.42686376,-0.188600387,bike,51
QWPCY106,51.42477686,-0.198478462,bike,52
QWPCY107,51.42076872,-0.204504251,bike,53
QWPCY108,51.42057889,-0.193321914,bike,54
QWPCY109,51.42840796,-0.187273419,bike,55
3006,51.3927682,-0.187719391,bus,56
3007,51.39051588,-0.188613293,bus,57
3008,51.39035034,-0.188375485,bus,58
3009,51.38705007,-0.189540628,bus,59
30099,51.30737446,-0.120453345,bus,60
3010,51.38778868,-0.189037185,bus,61
3017,51.48068807,-0.351625436,bus,62
30312,51.54814508,-0.481328518,bus,63
3033,51.50676457,-0.248548562,bus,64
3034,51.50660689,-0.248828394,bus,65
3035,51.50670816,-0.254415503,bus,66
3036,51.50659753,-0.254232405,bus,67
3037,51.50951241,-0.329661305,bus,68
3039,51.50649374,-0.260562228,bus,69
3040,51.50636534,-0.260999408,bus,70
